,precision,recall,f1-score,support
phimosis,1.0,0.5833333333333334,0.7368421052631579,12.0
pilonidal cyst,1.0,0.9411764705882353,0.9696969696969697,68.0
pinworm infection,0.8947368421052632,1.0,0.9444444444444444,17.0
pituitary adenoma,1.0,0.8333333333333334,0.9090909090909091,6.0
pituitary disorder,1.0,1.0,1.0,6.0
pityriasis rosea,0.7692307692307693,0.7142857142857143,0.7407407407407407,14.0
placental abruption,1.0,1.0,1.0,3.0
plantar fasciitis,0.95,0.95,0.95,40.0
pleural effusion,0.9159663865546218,0.9008264462809917,0.9083333333333333,121.0
pneumoconiosis,0.6,1.0,0.75,3.0
pneumonia,0.7681818181818182,0.6983471074380165,0.7316017316017316,242.0
pneumothorax,0.9245283018867925,0.8305084745762712,0.875,59.0
poisoning due to analgesics,1.0,0.9230769230769231,0.96,13.0
poisoning due to anticonvulsants,0.8888888888888888,1.0,0.9411764705882353,8.0
poisoning due to antidepressants,0.6,0.5,0.5454545454545454,6.0
poisoning due to antihypertensives,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
poisoning due to antimicrobial drugs,0.9,0.9473684210526315,0.9230769230769231,19.0
poisoning due to antipsychotics,0.2857142857142857,1.0,0.4444444444444444,2.0
poisoning due to ethylene glycol,0.7142857142857143,1.0,0.8333333333333334,5.0
poisoning due to gas,0.8372093023255814,0.9230769230769231,0.8780487804878049,39.0
poisoning due to sedatives,0.5897435897435898,0.92,0.71875,25.0
polycystic kidney disease,0.875,0.9459459459459459,0.9090909090909091,37.0
polycystic ovarian syndrome (pcos),0.9090909090909091,0.9259259259259259,0.9174311926605505,54.0
polycythemia vera,0.9090909090909091,1.0,0.9523809523809523,10.0
polymyalgia rheumatica,0.9642857142857143,1.0,0.9818181818181818,27.0
post-traumatic stress disorder (ptsd),0.2421875,0.256198347107438,0.24899598393574296,121.0
postoperative infection,0.9166666666666666,1.0,0.9565217391304348,22.0
postpartum depression,0.9494949494949495,0.9494949494949495,0.9494949494949495,99.0
preeclampsia,0.926829268292683,0.8837209302325582,0.9047619047619048,43.0
pregnancy,0.0,0.0,0.0,3.0
premature atrial contractions (pacs),0.8333333333333334,0.7954545454545454,0.813953488372093,44.0
